Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,40.0,0.0,-1.4,-0.07,-2.97,85.87,0.9169199043000518
1990-01-08,39.99,1.59,-1.29,0.1,-3.33,85.44,0.6417145986968507
1990-01-15,39.96,1.91,3.9,5.44,1.93,89.73,0.5022781446111342
1990-01-22,39.96,6.67,7.19,9.03,4.81,81.37,0.5006295017603719
1990-01-29,39.98,18.71,5.77,8.7,2.99,74.62,0.6367925415455247
1990-02-05,39.98,3.1,6.29,10.3,3.07,73.86,0.9087957014068824
1990-02-12,39.96,10.12,5.8,10.31,2.16,73.69,1.3127005319168088
1990-02-19,39.94,18.94,4.09,6.99,1.09,85.8,1.842658723263936
1990-02-26,39.91,8.17,9.96,15.6,5.13,69.9,2.4909967854180497
1990-03-05,39.89,24.04,4.16,6.66,1.79,77.0,3.2483271558555886
1990-03-12,39.88,17.18,8.43,11.66,5.91,77.41,4.10368412606971
1990-03-19,39.95,0.0,8.89,15.83,2.69,65.17,5.04468261872713
1990-03-26,39.92,2.65,9.11,12.9,5.64,71.33,6.05769751647013
1990-04-02,39.79,0.0,9.39,13.99,4.09,69.85,7.12806094578485
1990-04-09,39.78,0.74,5.54,11.19,0.83,60.35,8.240274659379988
1990-04-16,39.78,7.2,8.46,13.69,3.06,67.09,9.378234441900291
1990-04-23,39.71,15.48,11.27,16.2,6.21,68.24,10.525463289709394
1990-04-30,39.77,5.24,10.33,13.9,7.17,71.97,11.665349988432713
1990-05-07,39.78,0.0,18.51,25.19,9.56,49.01,12.781389633794642
1990-05-14,39.76,12.97,15.86,21.77,11.61,69.37,13.85742261314694
1990-05-21,39.75,3.36,13.53,19.09,8.23,61.52,14.877868587372127
1990-05-28,39.7,0.0,13.66,18.74,8.36,54.31,15.827952085239763
1990-06-04,39.67,16.42,14.83,20.74,9.41,63.58,16.693916443737965
1990-06-11,39.68,93.73,13.97,17.39,11.06,81.38,17.463222996647488
1990-06-18,39.67,4.24,15.69,19.57,11.6,67.31,18.124732627222308
1990-06-25,39.65,23.93,17.73,22.76,13.09,71.42,18.66886705619814
1990-07-02,39.62,9.51,19.97,24.44,15.87,68.14,19.08774752977142
1990-07-09,39.61,16.99,16.31,20.87,12.34,68.26,19.375308899426063
1990-07-16,39.58,1.55,17.1,22.01,11.26,59.08,19.527387441798343
1990-07-23,39.57,0.43,17.41,22.41,13.01,63.22,19.541781146998115
1990-07-30,39.59,0.46,19.5,25.2,13.57,65.64,19.41828160244652
1990-08-06,39.61,0.42,22.33,28.87,15.34,49.26,19.15867701057032
1990-08-13,39.53,25.8,18.4,24.19,13.34,69.95,18.76672629665854
1990-08-20,39.49,24.67,17.69,22.99,14.33,71.78,18.248104681784486
1990-08-27,39.44,1.48,17.43,22.93,12.0,65.58,17.610321508866477
1990-09-03,39.4,34.16,18.86,24.64,13.89,67.37,16.86261151169811
1990-09-10,39.4,31.71,13.14,16.67,10.83,83.11,16.01580110131036
1990-09-17,39.41,5.28,12.79,16.59,9.66,75.77,15.082151605762084
1990-09-24,39.4,10.84,11.33,15.03,8.96,74.65,14.075181733156644
1990-10-01,39.39,6.64,12.11,15.94,8.31,78.23,13.00947182851814
1990-10-08,39.38,1.27,11.84,16.16,8.6,78.26,11.900452758774938
1990-10-15,39.36,0.0,13.1,18.71,7.93,74.59,10.764182482675418
1990-10-22,39.36,1.72,11.07,15.9,7.79,77.83,9.617113540773977
1990-10-29,39.34,6.05,6.23,11.17,2.04,71.15,8.475854832099557
1990-11-05,39.31,3.74,6.07,8.97,3.3,82.98,7.356931126843261
1990-11-12,39.29,2.08,5.63,7.76,3.11,87.71,6.276543797183192
1990-11-19,39.27,29.04,7.7,9.47,6.37,89.4,5.250336230726658
1990-11-26,39.3,16.47,3.66,5.34,1.74,89.44,4.293167323248332
1990-12-03,39.36,8.51,2.23,4.26,-0.81,88.71,3.4188963304189866
1990-12-10,39.38,22.25,-0.41,1.56,-2.81,85.62,2.640182193749
1990-12-17,39.38,16.83,0.73,1.81,-0.39,90.25,1.96830024639047
1990-12-24,39.35,8.45,0.61,2.41,-1.27,90.42,1.4129789527934449
1990-12-31,39.29,16.91,3.17,5.51,0.39,78.11,0.982259046131894
1991-01-07,39.3,15.86,5.59,7.44,2.96,79.42,0.6823771031085499
1991-01-14,39.29,4.65,4.91,7.69,2.56,76.77,0.5176752419085968
1991-01-21,39.29,4.72,-1.34,2.46,-5.23,77.01,0.4905382508238247
1991-01-28,39.31,0.17,1.76,2.81,0.64,90.07,0.6013590578888337
1991-02-04,39.32,0.12,-4.81,-1.51,-8.0,66.07,0.8485330415088672
1991-02-11,39.34,15.84,-5.54,-3.26,-8.07,82.15,1.2284812644583063
1991-02-18,39.36,6.92,-2.7,-0.53,-5.4,85.96,1.7357022948347822
1991-02-25,39.38,4.59,2.4,7.24,-2.26,84.67,2.3628518636313096
1991-03-04,39.4,0.2,1.87,5.79,-0.97,77.99,3.100849205530533
1991-03-11,39.41,3.08,6.74,11.16,2.33,79.13,3.939008543167742
1991-03-18,39.39,2.3,8.63,14.14,4.5,81.13,4.865193811045471
1991-03-25,39.42,27.25,8.44,11.96,5.39,79.08,5.865994378787157
1991-04-01,39.46,5.02,4.96,8.49,1.07,66.31,6.926919229357527
1991-04-08,39.62,9.56,10.21,15.4,5.69,72.17,8.032606780660906
1991-04-15,39.59,0.0,11.69,17.6,4.54,56.16,9.167047312421277
1991-04-22,39.55,12.22,3.09,7.66,-0.56,73.34,10.313814777730595
1991-04-29,39.53,5.06,8.11,12.77,3.07,69.68,11.456304642767854
1991-05-06,39.48,30.04,7.34,10.64,4.51,79.81,12.57797431090532
1991-05-13,39.45,9.6,10.49,14.16,6.64,74.25,13.662582650000548
1991-05-20,39.4,4.83,10.01,14.51,4.44,68.8,14.694425154655526
1991-05-27,39.42,4.88,11.11,15.14,7.04,66.81,15.658561338429074
1991-06-03,39.49,2.61,14.64,20.07,8.2,58.59,16.54103106349381
1991-06-10,39.54,4.26,13.81,18.7,8.39,66.15,17.329056675408637
1991-06-17,39.51,28.27,14.79,18.97,11.51,68.43,18.011228016211536
1991-06-24,39.48,17.04,16.19,21.49,11.37,71.88,18.57766763694892
1991-07-01,39.39,13.05,16.59,21.17,12.03,73.5,19.020173817459806
1991-07-08,39.4,0.0,23.79,29.2,16.63,55.87,19.33233932257
1991-07-15,39.39,9.69,21.5,26.76,15.84,65.7,19.509644175174984
1991-07-22,39.38,11.16,17.41,21.7,13.79,69.25,19.549521102910663
1991-07-29,39.34,11.28,19.97,25.9,13.26,61.36,19.45139271078171
1991-08-05,39.3,1.96,22.03,26.6,17.51,69.81,19.216679841509283
1991-08-12,39.23,7.5,21.37,26.7,16.57,67.78,18.848781002544936
1991-08-19,39.18,6.15,17.41,22.51,12.31,67.91,18.35302315763604
1991-08-26,39.18,6.38,17.56,22.34,12.41,70.15,17.736584595452186
1991-09-02,39.18,0.74,17.24,22.91,11.61,69.64,17.008390992090824
1991-09-09,39.15,1.21,15.74,21.39,10.5,66.87,16.178986172417183
1991-09-16,39.12,4.73,14.99,22.16,8.59,66.62,15.26037944154002
1991-09-23,39.12,3.3,14.67,20.4,10.47,74.99,14.265871696975768
1991-09-30,39.09,4.71,15.71,20.57,11.3,73.36,13.20986283929662
1991-10-07,39.08,6.42,12.86,17.91,8.44,72.93,12.10764326984659
1991-10-14,39.08,8.73,14.03,19.63,9.51,76.95,10.9751724945176
1991-10-21,39.06,8.29,8.31,12.99,4.66,74.59,9.828848039276558
1991-10-28,38.99,1.96,4.24,8.77,-0.19,76.83,8.685268023413439
